user_id,LI_94,confidence-1-label,DIV_79,DIV_68,STRONG_85,DIV_82,P_83,input_a1,P_91,STRONG_92,UL_93,BUTTON_116,page1,LI_98,LI_101,confidence-3,confidence-3-label,LI_106,input_a2,LI_109,confidence-5,DIV_84,STRONG_89,wrapper_div2,page1_diagram,illustration_div,STRONG_76,DIV_69,DIV_72,P_75,confidence-4,submit_button_div1,P_80,DIV_66,index-page,wrapper_div,confidence-2,confidence-4-label,bold4,P_73,STRONG_71,STRONG_81,LI_95,DIV_80,P_92,STRONG_93,STRONG_86,DIV_83,P_84,P_74,DIV_73,DIV_70,P_76,DIV_67,STRONG_77,DIV_85,STRONG_90,P_81,STRONG_82,P_71,STRONG_72,STRONG_88,LI_102,LI_107,BUTTON_117,STRONG_91,P_90,DIV_78,UL_94,LI_110,LI_99,confidence-2-label,STRONG_87,confidence-1,DIV_74,DIV_89,STRONG_97,P_96,UL_98,LI_103,BUTTON_121,DIV_77,myModal,modal-footer,enter_full_screen2,confidence-5-label,modal-content,P_70,body,seoquake-seobar-panel,STRONG_84,LI_100,UL_92,LI_97,BUTTON_115,myModalLabel,modal-header,modal-body,page0,DIV_34,LI_96,DIV_81,STRONG_94,DIV_86,DIV_71,P_77,P_82,STRONG_83,P_85,P_93,UL_95,LI_108,BUTTON_118,DIV_38,myerror4,myerror2,P_72,STRONG_244,P_79,STRONG_80,DIV_95,DIV_93,P_89,DIV_98,P_99,DIV_100,STRONG_101,STRONG_108,P_107,STRONG_103,UL_109,LI_122,LI_117,BUTTON_132,LI_93,or_press_button,EM_68,_GPL_e6a00_parent_div,STRONG_247,STRONG_78,STRONG_245,LI_111,EM_67,window,LI_105,STRONG_70,P_69,STRONG_75,DIV_76,STRONG_73,EM_69,P_78,P_88,DIV_87,BUTTON_120,UL_97,STRONG_96,P_87,DIV_88,P_95,LI_113,DIV_49,DIV_65,DIV_35,myerror3,P_86,P_94,STRONG_95,UL_96,LI_104,BUTTON_119,DIV_75
3084,7,,54,,,24,24,52,,4,10,22,,,3,,1,3,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,52,1,127,90,,,,40,5,27,62,24,,50,3,,,,28,,,3,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,,,,,,,,37,,,,,,,,,,,,,,,,,24,7,,,,,,,,,,,12,,,,,,6,77,3,10,,,,,,1,17,,,8,,,,,,,,,9,,,,20,,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,17,,148,,11,21,47,71,5,5,18,10,,,,,,,43,49,8,18,,,66,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,,,,,,,,10,,,,,,,,1,1,,28,,,,,,15,4,,,,,5,,,,,,9,11,,,,,6,74,1,4,,26,41,22,52,30,2,,11,6,,,,,,11,13,38,8,,,,13,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,11,,128,80,7,4,4,20,2,13,8,25,16,10,14,,1,1,10,,,8,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,4,,40,,,11,120,13,,3,7,12,,,26,10,,,13,,,,,,528,3,18,3,11,1,,,,,,,,,,72,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,35,1,40,,,,,8,1,4,17,10,,19,12,5,10,10,,8,9,,,,14,,,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,12,,355,4,11,13,21,98,2,20,12,12,,,9,,,18,65,33,26,17,,,339,7,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,,,,,,,,20,,,,,,,,,,,,,,,,,3,21,,,,,,,,,,,,,,,,,4,1,,,,,,,,2,8,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
