"q2_clicks","q1_conf_click","q2_gender","q2_training","q2_conf","q2_scrolls","q2_color_blind","q2_time","q1_window_h","q1_a2","q1_a1","q2_condition","q2_calculation_question","q1_time","q1_condition","q1_user_id","q2_conf_click","q1_conf","q1_keydown","q2_window_h","q2_valid","q2_user_id","q1_window_w","q1_correct_a2","q1_correct_a1","q2_window_w","q2_occupation","q1_valid","q1_id","q2_comments","q2_education","q1_scrolls","q1_clicks","q2_id","q2_keydown"
9,1,"Female",2,3,0,"No",20.105,900,103,8,6,"Yes",77.747,6,2263,0,3,7,900,"True",2263,1440,103,8,1440,"Unemployed, Retired, Homemaker","True",20074,"","Undergraduate Degree",0,5,20076,0
9,2,"Female",1,2,0,"No",15.084,720,1000,10,6,"Yes",34.168,6,2264,0,2,6,720,"True",2264,1137,103,8,1137,"Unemployed, Retired, Homemaker","True",20078,"","Undergraduate Degree",0,8,20079,0
16,1,"Female",4,4,13,"No",74.685,767,1000,8,2,"Yes",41.076,2,2265,0,4,5,767,"True",2265,1349,103,8,1349,"Life, Physical, and Social Science Occupations","True",20083,"No concerns.","Graduate Degree",0,5,20085,210
11,2,"Female",1,5,0,"No",18.283,1079,1000,10,5,"No",64.447,5,2266,0,5,7,1079,"True",2266,1903,103,8,1903,"Unemployed, Retired, Homemaker","True",20086,"","High School",0,6,20088,0
10,1,"Male",2,5,0,"No",44.91,1050,1000,10,1,"Yes",70.185,1,2267,0,5,7,1050,"True",2267,1665,103,8,1665,"Unemployed, Retired, Homemaker","True",20090,"","High School",0,6,20091,0
10,1,"Female",1,1,20,"No",35.267,767,990,8,5,"Unsure",113.373,5,2268,0,1,6,767,"True",2268,1349,103,8,1349,"Food Preparation and Serving Related Occupations","True",20093,"","High School",0,6,20095,0
8,2,"Male",2,4,0,"No",29.1,1080,1000,10,0,"No",34.559,0,2269,0,4,6,1080,"True",2269,1905,103,8,1905,"Healthcare Practitioners and Technical Occupations","True",20094,"","Undergraduate Degree",0,6,20096,0
11,1,"Male",2,4,0,"No",22.818,768,1000,10,4,"Unsure",38.403,4,2271,0,4,13,768,"True",2271,1351,103,8,1351,"Other","True",20098,"","Undergraduate Degree",0,5,20100,0
14,1,"Female",1,3,0,"No",15.755,1049,110,10,4,"Yes",54.872,4,2272,0,3,10,1049,"True",2272,1665,103,8,1665,"Management Occupations","True",20101,"none","Undergraduate Degree",0,5,20102,4
8,1,"Female",1,3,12,"No",42.105,800,40,35,2,"No",55.91,2,2273,0,3,4,800,"True",2273,1280,103,8,1280,"Student, Trainee","True",20104,"","Undergraduate Degree",0,5,20107,0
11,1,"Male",2,3,0,"No",127.623,863,103,8,2,"Yes",144.293,2,2274,0,3,6,863,"True",2274,1135,103,8,1135,"Sales and Related Occupations","True",20110,"I think the graph said that 103 women tested positive, but only 8 actually had the cancer. This graph was kind of confusing to me. I'm probably way off.","High School",0,8,20115,287
13,1,"Female",3,5,0,"No",60.474,768,10,10,3,"Yes",137.429,3,2275,0,5,19,768,"True",2275,1024,103,8,1024,"Unemployed, Retired, Homemaker","True",20109,"it is fine","Elementary School",0,24,20111,10
12,1,"Female",2,4,0,"No",34.522,768,1000,103,2,"No",77.957,2,2277,0,4,7,768,"True",2277,1351,103,8,1351,"Office and Administrative Support Occupations","True",20112,"","Undergraduate Degree",0,7,20114,0
11,1,"Female",1,2,0,"No",20.191,840,1000,103,0,"Yes",81.715,0,2278,0,2,13,840,"True",2278,1344,103,8,1344,"Arts, Design, Entertainment, Sports, and Media Occupations","True",20116,"","High School",0,7,20117,0
